Name,Street,City,State,Zip,Phone
Cannabis Care Foundation,23150 NE State Route 3,Belfair,WA,98528,360-552-2420
Mari Meds,23710 NE State Route 3,Belfair,WA,98528,360-275-1181
Healthy Living Center,4140 Meridian St. Suite 220,Bellingham,WA,98225,360-778-3904
Kind Green Botanicals Collective,1311 11th St.,Bellingham,WA,98225,360-671-5991
Natural Remedies,2518 Meridian St,Bellingham,WA,98225,360-392-8653
Northern Cross,1311 Cornwall Ave,Bellingham,WA,98225,360-778-2959
Ladybuds,31515 3rd Ave.,Black Diamond,WA,98010,360-469-4143
MMJ Universe,26130 SE Green Valley Rd,Black Diamond,WA,98010,253-315-2673
Zen Living Cooperative,3533 Chuckanut Drive,Bow,WA,98232,360-840-7644
Big Buddas Collective Meds,4231 Olympic Dr,Bremerton,WA,98312,360-265-0236
HERBAL HEALING SAFE ACCESS,3062 SW Highway 16 Suite A,Bremerton,WA,98312,360-813-3644
Sweet Greens Co-Op,20985 Old Hwy 99 SW,Centralia,WA,98531,360-858-7366
Covington Holistic Medicine,16204 SE 272nd St,Covington,WA,98042,253-630-3050
The Harlee Cooperative,14021 52nd Ave W,Edmonds,WA,98026,360-393-9064
Evergreen Patient Network,2520 Center Rd Suite A,Everett,WA,98024,425-299-0377
Jade Gardens,6708 144th St. NW Suite A,Gig Harbor,WA,98332,253-514-8374
Key Peninsula Cross,15607 92nd St,Gig Harbor,WA,98349,253-884-6420
South Sound Alternative Medicine,3214 50th Street Ct NW #D204,Gig Harbor,WA,98335,800-385-2490
South Sound Holistic Medicine,21110 Meridian E #A,Graham,WA,98338,253-271-0017
Riverside Wellness Center,8411 State Route 92 Suite 2,Granite Falls,WA,98252,360-322-7257
Eastside Greenlight,230 NE Juniper St.,Issaquah,WA,98027,425-391-1500
Greenlink Collective,160 NW Gilman Blvd Suite D,Issaquah,WA,98027,425-677-7446
Evergreen Association of Collective Gardens,124 Central Ave N Suite 102,Kent,WA,98032,206-420-6777
Herbal Choice Caregivers,19011 68th Ave S,Kent,WA,98032,253-981-4444
Cannabis Outreach Services,5709 Lacey Blvd. SE,Lacey,WA,98503,360-459-2555
Earth Alternative Medicine,1123 Sleater-Kinney Rd SE,Lacey,WA,98503,360-949-6429
Green Wellness,6326 Martin Way E Suite 103,Lacey,WA,98516,888-885-9949
Healthy Element,420 Carpenter Rd SE Suite A,Lacey,WA,98503,360-556-7247
Lacey Cross,4227 Pacific Ave SE,Lacey,WA,98503,360-493-0420
Northwest Collective,5840 Pacific Ave SE Suite E,Lacey,WA,98503,360-464-0256
SnoConnection LLC,"16410 84th St NE, Suite #D521",Lake Stevens,WA,98258,425-903-1971
The Healing Leaf Collective,9626 32nd st se,Lake Stevens,WA,98258,425-263-0913
True Health Care,6920 Guide Meridian Rd Ste A2,Lynden,WA,98264,360-656-5983
Collie Buds & Oils,914 164th St SE,Lynnwood,WA,98087,206-792-9071
Green Rush,14608 Hwy. 99 Suite 304,Lynnwood,WA,98087,425-678-8106
Green Wellness,4720 200th St. SW,Lynnwood,WA,98036,888-885-9949
Hyperherbally Holistic Health,16430 6th Ave W,Lynnwood,WA,98037,425-280-9482
Med Source Patient Network,15315 Highway 99,Lynnwood,WA,98087,425-743-7704
Top Choice Wellness Center,19861 Renton Maple Valley Road,Maple Valley,WA,98038,206-491-3582
